skill,count,percentage
pricing,25,0.7335680751173709
nutrition,25,0.7335680751173709
web design,25,0.7335680751173709
continuous function,25,0.7335680751173709
logic,25,0.7335680751173709
front and back ends,25,0.7335680751173709
mobile development,25,0.7335680751173709
cloud storage,25,0.7335680751173709
competitiveness,24,0.7042253521126761
case study,24,0.7042253521126761
linguistics,24,0.7042253521126761
lesson plan,24,0.7042253521126761
guitar,24,0.7042253521126761
marketing strategy,24,0.7042253521126761
risk management,24,0.7042253521126761
entry point,24,0.7042253521126761
cloud infrastructure,24,0.7042253521126761
css,24,0.7042253521126761
creative writing,23,0.6748826291079812
spreadsheet,23,0.6748826291079812
semantics,23,0.6748826291079812
genomics,23,0.6748826291079812
confidence,23,0.6748826291079812
augmented assignment,23,0.6748826291079812
parenting,23,0.6748826291079812
cash flow,23,0.6748826291079812
justice,23,0.6748826291079812
c dynamic memory allocation,23,0.6748826291079812
instructional design,23,0.6748826291079812
scaling,23,0.6748826291079812
financial statement,23,0.6748826291079812
inference,22,0.6455399061032864
machine learning data-science machine-learning,22,0.6455399061032864
leadership development,22,0.6455399061032864
teaching method,22,0.6455399061032864
privacy,22,0.6455399061032864
cancer,22,0.6455399061032864
sorting,22,0.6455399061032864
autodesk,22,0.6455399061032864
3d modeling,22,0.6455399061032864
game design,22,0.6455399061032864
usability,22,0.6455399061032864
saving,22,0.6455399061032864
rstudio,22,0.6455399061032864
data science,22,0.6455399061032864
sound,22,0.6455399061032864
russian,21,0.6161971830985915
encryption,21,0.6161971830985915
image processing,21,0.6161971830985915
motivation,21,0.6161971830985915
recommender systems,21,0.6161971830985915
recursively enumerable set,21,0.6161971830985915
use case,21,0.6161971830985915
academic writing,21,0.6161971830985915
psychologies,21,0.6161971830985915
network security,21,0.6161971830985915
robotics,21,0.6161971830985915
chaining,21,0.6161971830985915
statistical hypothesis testing,21,0.6161971830985915
neuroscience,20,0.5868544600938966
enabling,20,0.5868544600938966
crime,20,0.5868544600938966
agriculture,20,0.5868544600938966
gene,20,0.5868544600938966
business communication,20,0.5868544600938966
fintech,20,0.5868544600938966
pedagogy,20,0.5868544600938966
natural language,20,0.5868544600938966
demand,20,0.5868544600938966
apache,20,0.5868544600938966
convolutional neural network,20,0.5868544600938966
mental health,20,0.5868544600938966
editing,20,0.5868544600938966
interpretation,20,0.5868544600938966
product development,19,0.5575117370892019
web page,19,0.5575117370892019
matrices,19,0.5575117370892019
intellectual property,19,0.5575117370892019
mapping,19,0.5575117370892019
meditation,19,0.5575117370892019
choice,19,0.5575117370892019
business analysis,19,0.5575117370892019
coaching,19,0.5575117370892019
photography,19,0.5575117370892019
chord,19,0.5575117370892019
kubernetes,19,0.5575117370892019
github,19,0.5575117370892019
international law,19,0.5575117370892019
public speaking,19,0.5575117370892019
running,19,0.5575117370892019
crisis,19,0.5575117370892019
fundraising,18,0.528169014084507
gradient,18,0.528169014084507
path (variable),18,0.528169014084507
data type,18,0.528169014084507
c programming,18,0.528169014084507
php,18,0.528169014084507
sports,18,0.528169014084507
computer-aided design,18,0.528169014084507
epidemiology,18,0.528169014084507
parent,18,0.528169014084507
accuracy and precision,18,0.528169014084507
social media marketing,18,0.528169014084507
opinion,18,0.528169014084507
forecasting,18,0.528169014084507
cryptocurrency,18,0.528169014084507
time series,18,0.528169014084507
mindfulness,18,0.528169014084507
solar systems,18,0.528169014084507
hypothesis,18,0.528169014084507
time management,18,0.528169014084507
lambda calculus,17,0.4988262910798122
balance sheet,17,0.4988262910798122
test automation,17,0.4988262910798122
agile management,17,0.4988262910798122
public-key cryptography,17,0.4988262910798122
online learning,17,0.4988262910798122
logistic regression,17,0.4988262910798122
essay writing,17,0.4988262910798122
modulo operation,17,0.4988262910798122
biodiversity,17,0.4988262910798122
renewable energy,17,0.4988262910798122
numpy,17,0.4988262910798122
scikit-learn,17,0.4988262910798122
computer program,17,0.4988262910798122
product management,17,0.4988262910798122
scrum (software development),17,0.4988262910798122
infection,17,0.4988262910798122
data model,17,0.4988262910798122
urban planning,17,0.4988262910798122
decision tree,17,0.4988262910798122
family,17,0.4988262910798122
gratitude,17,0.4988262910798122
mergers & acquisitions,17,0.4988262910798122
schedule,17,0.4988262910798122
budget,17,0.4988262910798122
data mining,17,0.4988262910798122
memory,17,0.4988262910798122
jpeg,17,0.4988262910798122
organizational structure,17,0.4988262910798122
arrays,17,0.4988262910798122
statistical analysis,16,0.4694835680751174
health system,16,0.4694835680751174
python syntax and semantics,16,0.4694835680751174
tableau software,16,0.4694835680751174
computer animation,16,0.4694835680751174
korean language,16,0.4694835680751174
latex,16,0.4694835680751174
mysql,16,0.4694835680751174
project plan,16,0.4694835680751174
randomness,16,0.4694835680751174
sociology,16,0.4694835680751174
email,16,0.4694835680751174
cloud computing security,16,0.4694835680751174
brainstorming,16,0.4694835680751174
market analysis,16,0.4694835680751174
integral,16,0.4694835680751174
research methods,16,0.4694835680751174
observation,16,0.4694835680751174
externality,16,0.4694835680751174
educational psychology,16,0.4694835680751174
software testing,16,0.4694835680751174
operating systems,16,0.4694835680751174
income,16,0.4694835680751174
augmented reality,16,0.4694835680751174
bias,16,0.4694835680751174
user interface design,16,0.4694835680751174
e-commerce,16,0.4694835680751174
hypothesis testing,16,0.4694835680751174
virtual reality,16,0.4694835680751174
stock market,16,0.4694835680751174
beam robotics,16,0.4694835680751174
business model canvas,15,0.44014084507042256
debugging,15,0.44014084507042256
r&d management,15,0.44014084507042256
financial accounting,15,0.44014084507042256
representational state transfer,15,0.44014084507042256
hashing,15,0.44014084507042256
constitution,15,0.44014084507042256
animal,15,0.44014084507042256
conflict resolution,15,0.44014084507042256
android studio,15,0.44014084507042256
molecular biology,15,0.44014084507042256
compiler,15,0.44014084507042256
harmony,15,0.44014084507042256
node.js,15,0.44014084507042256
audit,15,0.44014084507042256
internality,15,0.44014084507042256
emotions,15,0.44014084507042256
angular,15,0.44014084507042256
interaction design,15,0.44014084507042256
geometry,15,0.44014084507042256
game theory,15,0.44014084507042256
interact,15,0.44014084507042256
perception,15,0.44014084507042256
awareness,15,0.44014084507042256
python programming data-science machine-learning,15,0.44014084507042256
test set,15,0.44014084507042256
six sigma,15,0.44014084507042256
trigonometric integral,15,0.44014084507042256
geographic information system,15,0.44014084507042256
peering,14,0.41079812206572774
inventory,14,0.41079812206572774
strategic planning,14,0.41079812206572774
penetration test,14,0.41079812206572774
mobile app,14,0.41079812206572774
emergency,14,0.41079812206572774
reinforcement learning,14,0.41079812206572774
approximation,14,0.41079812206572774
therapy,14,0.41079812206572774
project planning,14,0.41079812206572774
framing,14,0.41079812206572774
email writing,14,0.41079812206572774
type i and type ii errors,14,0.41079812206572774
correlation and dependence,14,0.41079812206572774
methodology,14,0.41079812206572774
pytorch,14,0.41079812206572774
virtual machine,14,0.41079812206572774
humanitarian,14,0.41079812206572774
matplotlib,14,0.41079812206572774
customer relationship management,14,0.41079812206572774
sound design,14,0.41079812206572774
brand management,14,0.41079812206572774
social psychology,14,0.41079812206572774
sales strategy,14,0.41079812206572774
market research,14,0.41079812206572774
digital signature,14,0.41079812206572774
advertising,14,0.41079812206572774
bayesian,14,0.41079812206572774
apache spark,14,0.41079812206572774
systems thinking,14,0.41079812206572774
adaptation,14,0.41079812206572774
procurement,14,0.41079812206572774
consumer behaviour,14,0.41079812206572774
persona (user experience),13,0.3814553990610329
taxes,13,0.3814553990610329
dataflow,13,0.3814553990610329
bible,13,0.3814553990610329
receiving,13,0.3814553990610329
language learning,13,0.3814553990610329
missing data,13,0.3814553990610329
funds,13,0.3814553990610329
social network,13,0.3814553990610329
symptoms,13,0.3814553990610329
intellectual,13,0.3814553990610329
chi-squared distribution,13,0.3814553990610329
active listening,13,0.3814553990610329
circular economy,13,0.3814553990610329
iteration,13,0.3814553990610329
web service,13,0.3814553990610329
computational biology,13,0.3814553990610329
approximation error,13,0.3814553990610329
professional development,13,0.3814553990610329
mongodb,13,0.3814553990610329
media market,13,0.3814553990610329
mechanical design,13,0.3814553990610329
human computer interaction,13,0.3814553990610329
ecosystems,13,0.3814553990610329
team management,13,0.3814553990610329
logic gate,13,0.3814553990610329
user research,13,0.3814553990610329
financial markets,13,0.3814553990610329
business intelligence,13,0.3814553990610329
autocad,13,0.3814553990610329
html5,13,0.3814553990610329
anthropology,13,0.3814553990610329
human voice,13,0.3814553990610329
interest,13,0.3814553990610329
pandas,13,0.3814553990610329
recursion,13,0.3814553990610329
computer programming computer-science software-development,12,0.35211267605633806
epidemic,12,0.35211267605633806
payments,12,0.35211267605633806
translation,12,0.35211267605633806
process management,12,0.35211267605633806
verification and validation,12,0.35211267605633806
business process,12,0.35211267605633806
opencv,12,0.35211267605633806
switches,12,0.35211267605633806
social work,12,0.35211267605633806
deployment environment,12,0.35211267605633806
ethereum,12,0.35211267605633806
surgery,12,0.35211267605633806
dna,12,0.35211267605633806
random forest,12,0.35211267605633806
prevention,12,0.35211267605633806
c sharp (programming language),12,0.35211267605633806
rendering (computer graphics),12,0.35211267605633806
specification (technical standard),12,0.35211267605633806
business writing,12,0.35211267605633806
wireless,12,0.35211267605633806
organizational culture,12,0.35211267605633806
marketing mix,12,0.35211267605633806
student's t-distribution,12,0.35211267605633806
sap erp,12,0.35211267605633806
emotional intelligence,12,0.35211267605633806
adobe photoshop,12,0.35211267605633806
version control,12,0.35211267605633806
personality,12,0.35211267605633806
mathematical model,12,0.35211267605633806
sales management,12,0.35211267605633806
data analysis data-science data-analysis,12,0.35211267605633806
.bit,12,0.35211267605633806
analysis data-science data-analysis,12,0.35211267605633806
experimental design,12,0.35211267605633806
object-oriented programming,12,0.35211267605633806
quantum mechanics,12,0.35211267605633806
3d printing,12,0.35211267605633806
cluster analysis,12,0.35211267605633806
nursing,12,0.35211267605633806
signal processing,12,0.35211267605633806
information security,12,0.35211267605633806
null coalescing operator,12,0.35211267605633806
purchasing,12,0.35211267605633806
calibration,12,0.35211267605633806
ternary conditional operator,12,0.35211267605633806
agile software development,12,0.35211267605633806
ggplot2,12,0.35211267605633806
recurrent neural network,12,0.35211267605633806
empathy,12,0.35211267605633806
finance business finance,12,0.35211267605633806
business,11,0.3227699530516432
marketing plan,11,0.3227699530516432
openfabrics alliance,11,0.3227699530516432
behavioral economics,11,0.3227699530516432
population,11,0.3227699530516432
load balancing,11,0.3227699530516432
news,11,0.3227699530516432
object detection,11,0.3227699530516432
banking,11,0.3227699530516432
business case,11,0.3227699530516432
tracking,11,0.3227699530516432
healthcare management,11,0.3227699530516432
foreign policy,11,0.3227699530516432
technology strategy,11,0.3227699530516432
performance management,11,0.3227699530516432
venture capital,11,0.3227699530516432
qualitative research,11,0.3227699530516432
ecosystem,11,0.3227699530516432
project data-science data-analysis,11,0.3227699530516432
voting,11,0.3227699530516432
bitcoin,11,0.3227699530516432
arduino,11,0.3227699530516432
unix shells,11,0.3227699530516432
fluid mechanics,11,0.3227699530516432
file shortcut,11,0.3227699530516432
ecology,11,0.3227699530516432
matlab,11,0.3227699530516432
download,11,0.3227699530516432
systems design,11,0.3227699530516432
illustration,11,0.3227699530516432
copywriting,11,0.3227699530516432
p-value,11,0.3227699530516432
protein,11,0.3227699530516432
tailored access operations,11,0.3227699530516432
arbitration,11,0.3227699530516432
theory of relativity,11,0.3227699530516432
cost benefit analysis,11,0.3227699530516432
predictive modelling,11,0.3227699530516432
dnas,11,0.3227699530516432
long short-term memory,11,0.3227699530516432
sustainable business,11,0.3227699530516432
security management,11,0.3227699530516432
anxiety,11,0.3227699530516432
torque,11,0.3227699530516432
personal branding,11,0.3227699530516432
python libraries,11,0.3227699530516432
recruitment,11,0.3227699530516432
death,11,0.3227699530516432
plotly,11,0.3227699530516432
computer architecture,11,0.3227699530516432
booking,11,0.3227699530516432
self-awareness,11,0.3227699530516432
distributed computing,11,0.3227699530516432
clinical study design,11,0.3227699530516432
dialogue,10,0.2934272300469483
solar energy,10,0.2934272300469483
test case,10,0.2934272300469483
user story,10,0.2934272300469483
design pattern,10,0.2934272300469483
spreadsheet software,10,0.2934272300469483
plant,10,0.2934272300469483
physiology,10,0.2934272300469483
inflation,10,0.2934272300469483
swift programming,10,0.2934272300469483
cross-cultural communication,10,0.2934272300469483
e-nable,10,0.2934272300469483
japanese language,10,0.2934272300469483
risk factors,10,0.2934272300469483
risk factor,10,0.2934272300469483
smart contract,10,0.2934272300469483
authority,10,0.2934272300469483
power electronics,10,0.2934272300469483
predictive analytics,10,0.2934272300469483
healing,10,0.2934272300469483
breach (security exploit),10,0.2934272300469483
matching,10,0.2934272300469483
biostatistics,10,0.2934272300469483
maximization (psychology),10,0.2934272300469483
data security,10,0.2934272300469483
journalism,10,0.2934272300469483
acoustics,10,0.2934272300469483
phenomenon,10,0.2934272300469483
user (computing),10,0.2934272300469483
disaster,10,0.2934272300469483
unix,10,0.2934272300469483
unit testing,10,0.2934272300469483
identity management,10,0.2934272300469483
partnership,10,0.2934272300469483
leadership and management business leadership-and-management,10,0.2934272300469483
troubleshooting,10,0.2934272300469483
flask,10,0.2934272300469483
search engine optimization,10,0.2934272300469483
customer experience,10,0.2934272300469483
informatics,10,0.2934272300469483
permutations,10,0.2934272300469483
food security,10,0.2934272300469483
cipher,10,0.2934272300469483
business law,10,0.2934272300469483
facilitation,10,0.2934272300469483
feature engineering,10,0.2934272300469483
statistical inference,10,0.2934272300469483
dynamic programming,10,0.2934272300469483
war,10,0.2934272300469483
proposition,10,0.2934272300469483
convolution,10,0.2934272300469483
health informatics,10,0.2934272300469483
aerospace engineering,10,0.2934272300469483
stack (abstract data type),10,0.2934272300469483
software development process,10,0.2934272300469483
hyperparameter,10,0.2934272300469483
supply chain management,10,0.2934272300469483
deep learning data-science machine-learning,10,0.2934272300469483
target audience,10,0.2934272300469483
food science,10,0.2934272300469483
bookkeeping,10,0.2934272300469483
linear model,10,0.2934272300469483
arcgis,10,0.2934272300469483
health,10,0.2934272300469483
generation,10,0.2934272300469483
probability density function,10,0.2934272300469483
terrorism,10,0.2934272300469483
health policy,10,0.2934272300469483
strategic thinking,10,0.2934272300469483
training and development,10,0.2934272300469483
