user_id,skills,experience_levels,skills_text,num_skills,primary_clusters,avg_experience
58,"['blockchain', 'dataflow', 'sql', 'user interface design', 'agile management', 'modulo operation']","[4, 5, 4, 4, 2, 3]",blockchain  dataflow  sql  user interface design  agile management  modulo operation,6,[6],3.6666666666666665
59,"['general statistics', 'analysis', 'peering', 'hypothesis testing', 'social psychology']","[3, 5, 3, 2, 1]",general statistics  analysis  peering  hypothesis testing  social psychology,5,[1],2.8
60,"['machine learning', 'analysis', 'data analysis', 'mathematical optimization', 'death', 'scikit-learn']","[4, 5, 4, 3, 4, 1]",machine learning  analysis  data analysis  mathematical optimization  death  scikit-learn,6,[1],3.5
61,"['decision making', 'communication', 'project', 'flow network', 'hyperparameter', 'natural language processing', 'religion']","[3, 4, 3, 3, 3, 2, 3]",decision making  communication  project  flow network  hyperparameter  natural language processing  religion,7,[0],3.0
62,"['ordered pair', 'c programming', 'numbers (spreadsheet)', 'analysis data-science data-analysis', 'collaboration', 'target audience', 'genomics']","[4, 5, 5, 2, 4, 1, 1]",ordered pair  c programming  numbers (spreadsheet)  analysis data-science data-analysis  collaboration  target audience  genomics,7,[5],3.142857142857143
63,"['python programming', 'confidence', 'utility', 'map', 'swift programming', 'search engine optimization', 'computer-aided design', 'personal advertisement']","[5, 5, 3, 5, 3, 4, 3, 2]",python programming  confidence  utility  map  swift programming  search engine optimization  computer-aided design  personal advertisement,8,[1],3.75
64,"['algorithms', 'data visualization', 'semantics', 'web development', 'organizing (management)', 'family', 'virtual machine', 'mindfulness']","[3, 4, 4, 4, 3, 3, 1, 2]",algorithms  data visualization  semantics  web development  organizing (management)  family  virtual machine  mindfulness,8,"[1, 5]",3.0
65,"['business analytics', 'p-value', 'linear regression', 'logic gate', 'agile management', 'video game development']","[4, 3, 4, 3, 3, 2]",business analytics  p-value  linear regression  logic gate  agile management  video game development,6,[1],3.1666666666666665
66,"['switches', 'mechanical engineering', 'project', 'sorting', 'six sigma', 'web', 'numbers (spreadsheet)']","[5, 4, 3, 3, 4, 3, 3]",switches  mechanical engineering  project  sorting  six sigma  web  numbers (spreadsheet),7,"[3, 0]",3.5714285714285716
67,"['continuous function', 'autodesk', 'manufacturing process management', 'sustainability', 'evaluation', 'education', 'family']","[3, 4, 5, 5, 3, 4, 3]",continuous function  autodesk  manufacturing process management  sustainability  evaluation  education  family,7,"[3, 4]",3.857142857142857
68,"['safety', 'climate change', 'global', 'patient', 'natural language processing', 'social network', 'agile software development']","[4, 4, 4, 4, 2, 3, 3]",safety  climate change  global  patient  natural language processing  social network  agile software development,7,[4],3.4285714285714284
69,"['leadership and management', 'evolution', 'autodesk', 'predictive modelling', 'voting', 'cryptography', 'product management']","[4, 4, 5, 3, 4, 3, 2]",leadership and management  evolution  autodesk  predictive modelling  voting  cryptography  product management,7,"[0, 3]",3.5714285714285716
70,"['externality', 'leadership and management', 'risk management', 'average', 'computer animation', 'ethereum', 'operating systems']","[5, 4, 4, 4, 4, 1, 2]",externality  leadership and management  risk management  average  computer animation  ethereum  operating systems,7,[0],3.4285714285714284
71,"['sound', 'history', 'law', 'project', 'choice', 'performance', 'syntax', 'bias']","[4, 4, 5, 3, 4, 3, 3, 2]",sound  history  law  project  choice  performance  syntax  bias,8,"[2, 0]",3.5
72,"['sustainable business', 'bioinformatics', 'saving', 'procurement', 'bitcoin']","[4, 5, 3, 3, 1]",sustainable business  bioinformatics  saving  procurement  bitcoin,5,[4],3.2
73,"['public health', 'global', 'adaptation', 'planning', 'product management', 'principle', 'web application', 'art', 'google cloud platform']","[5, 4, 4, 5, 4, 5, 2, 2, 1]",public health  global  adaptation  planning  product management  principle  web application  art  google cloud platform,9,"[4, 0]",3.5555555555555554
74,"['film', 'listening', 'child', 'process', 'culture', 'coaching', 'random forest', 'command-line interface', 'public speaking']","[3, 4, 3, 4, 3, 3, 3, 2, 2]",film  listening  child  process  culture  coaching  random forest  command-line interface  public speaking,9,"[2, 0]",3.0
75,"['language', 'video editing', 'game design', 'augmented reality']","[3, 3, 4, 3]",language  video editing  game design  augmented reality,4,[2],3.25
76,"['political science', 'educational psychology', 'mindfulness', 'operating systems', 'consumer behaviour', 'benefits']","[5, 4, 4, 3, 4, 2]",political science  educational psychology  mindfulness  operating systems  consumer behaviour  benefits,6,[2],3.6666666666666665
77,"['hashing', 'sql', 'information security', 'leadership and management', 'sales strategy', 'crisis', 'qualitative research', 'exploratory data analysis']","[4, 5, 4, 4, 4, 4, 2, 3]",hashing  sql  information security  leadership and management  sales strategy  crisis  qualitative research  exploratory data analysis,8,"[6, 0]",3.75
78,"['inference', 'machine learning', 'natural language', 'harmony', 'balance sheet', 'healing', 'blockchain']","[5, 4, 3, 4, 4, 3, 2]",inference  machine learning  natural language  harmony  balance sheet  healing  blockchain,7,[1],3.5714285714285716
79,"['problem solving', 'computer programming', 'philosophy', 'matching']","[5, 4, 4, 2]",problem solving  computer programming  philosophy  matching,4,[5],3.75
80,"['artificial neural networks', 'mathematical optimization', 'python programming', 'english language', 'ordered pair', 'apache spark', 'gratitude']","[5, 3, 3, 2, 4, 2, 1]",artificial neural networks  mathematical optimization  python programming  english language  ordered pair  apache spark  gratitude,7,[1],2.857142857142857
81,"['computer architecture', 'web', 'java (software platform)', 'business analytics', 'value proposition']","[4, 5, 4, 2, 3]",computer architecture  web  java (software platform)  business analytics  value proposition,5,[5],3.6
82,"['project', 'value proposition', 'customer relationship management', 'essay writing', 'html5', 'video editing']","[3, 4, 5, 4, 3, 2]",project  value proposition  customer relationship management  essay writing  html5  video editing,6,[0],3.5
83,"['computer programming computer-science software-development', 'business analytics', 'css', 'crisis', 'humanitarian', 'relative change and difference']","[4, 3, 2, 3, 1, 1]",computer programming computer-science software-development  business analytics  css  crisis  humanitarian  relative change and difference,6,[1],2.3333333333333335
84,"['kubernetes', 'google cloud platform', 'bias', 'lesson plan', 'anthropology', 'news']","[4, 3, 3, 3, 2, 3]",kubernetes  google cloud platform  bias  lesson plan  anthropology  news,6,"[6, 0]",3.0
85,"['databases', 'internet', 'security', 'compiler', 'computer program', '.properties']","[5, 4, 4, 2, 2, 1]",databases  internet  security  compiler  computer program  .properties,6,[6],3.0
86,"['strategic management', 'communication', '3d modeling', 'electronics', 'hypothesis testing', 'problem solving', 'computer architecture']","[5, 5, 3, 4, 3, 4, 1]",strategic management  communication  3d modeling  electronics  hypothesis testing  problem solving  computer architecture,7,"[0, 3]",3.5714285714285716
87,"['market segmentation', 'business strategy', 'sources', 'statistical hypothesis testing', 'interpretation']","[3, 3, 5, 4, 1]",market segmentation  business strategy  sources  statistical hypothesis testing  interpretation,5,[0],3.2
88,"['software engineering', 'databases', 'plotly', 'convolutional neural network']","[4, 5, 2, 2]",software engineering  databases  plotly  convolutional neural network,4,"[5, 6]",3.25
89,"['user experience', 'randomness', 'human voice', 'solar energy', 'ios development']","[5, 3, 2, 2, 1]",user experience  randomness  human voice  solar energy  ios development,5,"[5, 1]",2.6
90,"['language', 'meditation', 'religion', 'linearity', 'front and back ends']","[5, 3, 5, 3, 3]",language  meditation  religion  linearity  front and back ends,5,[2],3.8
91,"['child', 'teaching', 'constitution', 'writing', 'statistical analysis', 'marketing strategy', 'cost']","[3, 5, 5, 5, 3, 3, 3]",child  teaching  constitution  writing  statistical analysis  marketing strategy  cost,7,[2],3.857142857142857
92,"['biology', 'modeling', 'analysis', 'interview', 'exploratory data analysis', 'human voice']","[3, 5, 3, 4, 3, 2]",biology  modeling  analysis  interview  exploratory data analysis  human voice,6,"[4, 1]",3.3333333333333335
93,"['analytics', 'microsoft excel', 'python programming', 'studentized residual', ""student's t-distribution"", 'investment', 'data analysis data-science data-analysis']","[4, 3, 5, 3, 2, 2, 2]",analytics  microsoft excel  python programming  studentized residual  student's t-distribution  investment  data analysis data-science data-analysis,7,[1],3.0
94,"['decision tree', 'modeling', 'graphic design', 'software', 'interfaces', 'market (economics)', 'parent', 'receiving', 'aerospace engineering']","[4, 4, 4, 4, 3, 2, 2, 1, 3]",decision tree  modeling  graphic design  software  interfaces  market (economics)  parent  receiving  aerospace engineering,9,"[1, 5]",3.0
95,"['verification and validation', 'unit testing', 'syntax', 'financial accounting', 'perception', 'analysis data-science data-analysis', 'foreign policy', 'intellectual property']","[4, 5, 3, 4, 5, 3, 2, 3]",verification and validation  unit testing  syntax  financial accounting  perception  analysis data-science data-analysis  foreign policy  intellectual property,8,"[5, 0]",3.625
96,"['continuous function', 'c dynamic memory allocation', 'advertising', 'data mining', 'recurrent neural network']","[4, 5, 2, 3, 3]",continuous function  c dynamic memory allocation  advertising  data mining  recurrent neural network,5,[3],3.4
97,"['i-deas', 'planning', 'spreadsheet', 'algorithms', 'c++', 'harmony', 'analytics', 'language learning']","[3, 3, 5, 4, 2, 4, 3, 3]",i-deas  planning  spreadsheet  algorithms  c++  harmony  analytics  language learning,8,"[0, 1]",3.375
98,"['keras', 'training and development', 'photography', 'meditation', 'compiler', 'brainstorming', 'modeling']","[5, 3, 4, 4, 3, 4, 1]",keras  training and development  photography  meditation  compiler  brainstorming  modeling,7,"[1, 2]",3.4285714285714284
99,"['writing', 'art history', 'english language', 'grammar', 'unix shells', 'market analysis', 'privacy', 'schedule']","[3, 5, 3, 4, 4, 3, 1, 2]",writing  art history  english language  grammar  unix shells  market analysis  privacy  schedule,8,[2],3.125
100,"['machine learning', 'business analysis', 'algorithms', 'debugging', 'business writing', 'persona (user experience)']","[5, 5, 5, 2, 4, 1]",machine learning  business analysis  algorithms  debugging  business writing  persona (user experience),6,[1],3.6666666666666665
101,"['process', 'systems thinking', 'film', 'convolutional neural network', 'inflation']","[3, 4, 3, 3, 2]",process  systems thinking  film  convolutional neural network  inflation,5,[0],3.0
102,"['modeling', 'data visualization', 'operations management', 'creative writing', 'biostatistics']","[5, 5, 3, 3, 3]",modeling  data visualization  operations management  creative writing  biostatistics,5,[1],3.8
103,"['security', 'cloud computing', 'internet of things', 'planning', 'deep learning', 'sap erp', 'openfabrics alliance']","[5, 5, 4, 3, 4, 2, 1]",security  cloud computing  internet of things  planning  deep learning  sap erp  openfabrics alliance,7,[6],3.4285714285714284
104,"['writing', 'history', 'presentation', 'psychology', 'interactivity', 'time series', 'geometry']","[4, 5, 3, 4, 3, 2, 3]",writing  history  presentation  psychology  interactivity  time series  geometry,7,[2],3.4285714285714284
105,"['physics', 'mechanical engineering', 'materials', 'civil engineering', 'documents', 'market segmentation', 'c programming']","[3, 4, 4, 5, 2, 3, 1]",physics  mechanical engineering  materials  civil engineering  documents  market segmentation  c programming,7,[3],3.142857142857143
106,"['semantics', 'computer programming', 'java (software platform)', 'strategic management', 'flow network', 'speech', 'microsoft excel', 'training and development', 'cloud computing security']","[3, 3, 5, 4, 5, 3, 3, 2, 3]",semantics  computer programming  java (software platform)  strategic management  flow network  speech  microsoft excel  training and development  cloud computing security,9,"[5, 0]",3.4444444444444446
107,"['training', 'python programming', 'rstudio', 'modeling', 'journalism', 'cloud computing']","[3, 4, 4, 4, 3, 3]",training  python programming  rstudio  modeling  journalism  cloud computing,6,[1],3.5
108,"['energy', 'aerospace engineering', 'materials', 'pandas', 'computational biology']","[4, 5, 5, 4, 3]",energy  aerospace engineering  materials  pandas  computational biology,5,[3],4.2
109,"['brainstorming', 'marketing', 'war', 'computer programming computer-science software-development']","[3, 4, 2, 1]",brainstorming  marketing  war  computer programming computer-science software-development,4,[0],2.5
110,"['circular economy', 'health care', 'harmony', 'business law', 'poetry writing', 'time series', 'virtual reality', 'training and development']","[5, 5, 3, 4, 4, 3, 4, 3]",circular economy  health care  harmony  business law  poetry writing  time series  virtual reality  training and development,8,"[4, 2]",3.875
111,"['data analysis', 'keras', 'project mine', 'chinese language', 'stack (abstract data type)', 'syntax', 'css']","[3, 5, 5, 4, 2, 3, 1]",data analysis  keras  project mine  chinese language  stack (abstract data type)  syntax  css,7,[1],3.2857142857142856
112,"['missing data', 'data analysis', 'organizing (management)', 'evaluation', 'accounting', 'augmented reality', 'inflation', 'statistical inference']","[5, 5, 4, 3, 5, 3, 1, 3]",missing data  data analysis  organizing (management)  evaluation  accounting  augmented reality  inflation  statistical inference,8,"[1, 0]",3.625
113,"['food security', 'exercise', 'climate change', 'internet of things', 'sql', 'interactivity', 'process management', 'plant', 'mergers & acquisitions']","[4, 3, 4, 3, 3, 2, 2, 3, 3]",food security  exercise  climate change  internet of things  sql  interactivity  process management  plant  mergers & acquisitions,9,"[4, 6]",3.0
114,"['cloud storage', 'human learning', 'deep learning', 'case study', 'software development process', 'resource', 'collaboration']","[5, 5, 3, 4, 2, 2, 3]",cloud storage  human learning  deep learning  case study  software development process  resource  collaboration,7,"[6, 1]",3.4285714285714284
115,"['epidemiology', 'anatomy', 'mechanical engineering', 'continuous function', 'architecture', 'data mining', 'pedagogy']","[5, 4, 4, 3, 5, 3, 3]",epidemiology  anatomy  mechanical engineering  continuous function  architecture  data mining  pedagogy,7,"[4, 3]",3.857142857142857
116,"['cost', 'finance', 'problem solving', 'semantics', 'python programming data-science machine-learning', 'population', 'market research']","[4, 4, 5, 5, 4, 3, 2]",cost  finance  problem solving  semantics  python programming data-science machine-learning  population  market research,7,"[0, 5]",3.857142857142857
117,"['big data', 'security management', 'regression analysis', 'scrum (software development)', 'geometry']","[5, 5, 2, 1, 2]",big data  security management  regression analysis  scrum (software development)  geometry,5,[6],3.0
118,"['software engineering', 'command-line interface', 'modeling', '.properties', 'chord']","[4, 4, 3, 1, 2]",software engineering  command-line interface  modeling  .properties  chord,5,[5],2.8
119,"['strategy', 'process management', 'market (economics)', 'computer programming computer-science software-development', 'unix', 'forecasting']","[3, 5, 5, 3, 4, 2]",strategy  process management  market (economics)  computer programming computer-science software-development  unix  forecasting,6,[0],3.6666666666666665
120,"['listening', 'taxes', 'behavior', 'studentized residual', 'data structures', 'audit']","[3, 3, 3, 3, 2, 3]",listening  taxes  behavior  studentized residual  data structures  audit,6,"[2, 0]",2.8333333333333335
121,"['planning', 'experience', 'history', 'academic writing', 'bayesian', 'mathematical model', 'film']","[3, 3, 5, 5, 2, 3, 2]",planning  experience  history  academic writing  bayesian  mathematical model  film,7,"[0, 2]",3.2857142857142856
122,"['regression', ""euler's totient function"", 'ggplot2', 'web service', 'software testing']","[3, 5, 5, 2, 2]",regression  euler's totient function  ggplot2  web service  software testing,5,[1],3.4
123,"['analysis', ""euler's totient function"", 'machine learning', 'death', 'constitution', 'consumer behaviour']","[4, 4, 5, 2, 1, 3]",analysis  euler's totient function  machine learning  death  constitution  consumer behaviour,6,[1],3.1666666666666665
124,"['market segmentation', 'e-nable', 'machine learning', 'regression analysis', 'unit testing', 'music']","[3, 3, 5, 4, 4, 1]",market segmentation  e-nable  machine learning  regression analysis  unit testing  music,6,"[0, 1]",3.3333333333333335
125,"['web', 'video game development', 'forecasting', 'stock', 'proposition', 'copywriting']","[3, 4, 3, 3, 2, 1]",web  video game development  forecasting  stock  proposition  copywriting,6,"[5, 1]",2.6666666666666665
126,"['agile management', 'web service', 'numbers (spreadsheet)', 'sound', 'correlation and dependence', 'asset', 'investment']","[4, 3, 5, 3, 3, 1, 2]",agile management  web service  numbers (spreadsheet)  sound  correlation and dependence  asset  investment,7,"[0, 5]",3.0
127,"['analysis', 'mathematics', 'career', 'international law', 'logic gate', 'patient', 'python programming']","[5, 4, 5, 2, 3, 2, 3]",analysis  mathematics  career  international law  logic gate  patient  python programming,7,"[1, 0]",3.4285714285714284
