user_id,interests,interests_text,num_interests,math_grade,science_grade,language_grade,overall_grade
40,"['map', 'path (variable)', 'openfabrics alliance', 'project', 'beam robotics', 'chart']",map  path (variable)  openfabrics alliance  project  beam robotics  chart,6,84.49,64.09,91.83,80.14
41,"['numpy', 'lecture', 'climate change']",numpy  lecture  climate change,3,58.18,82.04,100.0,80.07
42,"['economy', 'ecology', 'social media marketing', 'political science']",economy  ecology  social media marketing  political science,4,63.11,68.2,76.2,69.17
43,"['partnership', 'dna', 'html', 'process management']",partnership  dna  html  process management,4,68.96,56.39,75.82,67.06
44,"['business analysis', 'physiology', 'sources', 'chart']",business analysis  physiology  sources  chart,4,62.25,80.68,63.97,68.97
45,"['sociology', 'agriculture', 'case study']",sociology  agriculture  case study,3,93.6,65.6,71.14,76.78
46,"['death', 'object-oriented programming', 'qualitative research', 'python libraries']",death  object-oriented programming  qualitative research  python libraries,4,84.76,60.23,77.73,74.24
47,"['null coalescing operator', 'bible', 'databases', 'mental health']",null coalescing operator  bible  databases  mental health,4,90.69,55.71,77.22,74.54
48,"['mongodb', 'graphic design', 'prevention']",mongodb  graphic design  prevention,3,78.12,84.38,60.16,74.22
49,"['path (variable)', 'sql', 'quantum mechanics', 'data analysis', 'ecology']",path (variable)  sql  quantum mechanics  data analysis  ecology,5,59.15,81.26,78.56,72.99
50,"['ethereum', 'bias', 'syntax', 'software development process', 'bigquery']",ethereum  bias  syntax  software development process  bigquery,5,78.01,79.16,66.84,74.67
51,"['benefits', 'awareness', 'target audience', 'public health', 'relative change and difference']",benefits  awareness  target audience  public health  relative change and difference,5,77.79,78.52,66.43,74.24
52,"['data mining', 'benefits', 'resource', 'business law', 'download', 'bookkeeping', 'test set']",data mining  benefits  resource  business law  download  bookkeeping  test set,7,97.39,80.69,60.7,79.59
53,"['financial accounting', 'nursing', 'communication']",financial accounting  nursing  communication,3,82.88,63.3,84.45,76.88
54,"['front and back ends', 'symptoms', 'test case', 'asset', 'user research', 'business model canvas', 'pandas']",front and back ends  symptoms  test case  asset  user research  business model canvas  pandas,7,88.9,65.15,86.56,80.21
55,"['strategic management', 'scaling', 'inventory', 'global', 'empathy', 'interpretation', 'flask']",strategic management  scaling  inventory  global  empathy  interpretation  flask,7,79.95,84.86,97.76,87.53
56,"['negotiation', 'confidence', 'instructional design', 'privacy', 'inventory']",negotiation  confidence  instructional design  privacy  inventory,5,72.06,65.96,64.33,67.45
57,"['adaptation', 'probability', 'utility']",adaptation  probability  utility,3,65.21,74.07,79.09,72.79
58,"['chemistry', 'budget', 'social network', 'epidemic', 'representational state transfer', 'graphic design', 'conflict resolution']",chemistry  budget  social network  epidemic  representational state transfer  graphic design  conflict resolution,7,78.32,84.93,75.16,79.47
59,"['bookkeeping', 'foreign policy', 'matplotlib', 'humanitarian', 'data mining']",bookkeeping  foreign policy  matplotlib  humanitarian  data mining,5,92.44,71.82,100.0,88.09
60,"['software engineering', 'intellectual', 'unix shells', 'security management', 'active listening', 'spreadsheet']",software engineering  intellectual  unix shells  security management  active listening  spreadsheet,6,82.51,64.71,62.15,69.79
61,"['choice', 'consumer behaviour', 'grammar', 'cluster analysis', 'circular economy']",choice  consumer behaviour  grammar  cluster analysis  circular economy,5,80.79,72.32,83.57,78.89
62,"['data analysis data-science data-analysis', 'health', 'human learning', 'training and development', 'english language', 'linearity', 'emotions']",data analysis data-science data-analysis  health  human learning  training and development  english language  linearity  emotions,7,80.68,74.13,64.84,73.21
63,"['renewable energy', 'r&d management', 'gene', 'balance sheet', 'career']",renewable energy  r&d management  gene  balance sheet  career,5,56.82,69.64,85.28,70.58
64,"['healthcare management', 'augmented reality', '3d printing', 'latex', 'computer-aided design', 'web service']",healthcare management  augmented reality  3d printing  latex  computer-aided design  web service,6,77.57,60.05,77.08,71.57
65,"['data structures', 'physics', 'specification (technical standard)', 'peer review', 'statistical inference']",data structures  physics  specification (technical standard)  peer review  statistical inference,5,79.62,64.39,76.84,73.62
66,"['cloud computing security', 'business analysis', 'cryptocurrency']",cloud computing security  business analysis  cryptocurrency,3,75.7,61.28,79.29,72.09
67,"['arrays', 'matplotlib', 'tableau software', 'speech', 'cross-cultural communication', 'perception', 'computer programming']",arrays  matplotlib  tableau software  speech  cross-cultural communication  perception  computer programming,7,81.73,88.0,87.65,85.79
68,"['interfaces', 'materials', 'asset']",interfaces  materials  asset,3,58.47,63.75,81.18,67.8
69,"['english language', 'game design', 'chinese language', 'map', 'statistical hypothesis testing']",english language  game design  chinese language  map  statistical hypothesis testing,5,81.17,81.18,100.0,87.45
70,"['user story', 'data analysis', 'financial statement', 'data type', 'digital marketing', 'operations management']",user story  data analysis  financial statement  data type  digital marketing  operations management,6,81.85,88.63,86.45,85.64
71,"['disaster', 'language learning', 'operating systems']",disaster  language learning  operating systems,3,82.82,71.22,84.11,79.38
72,"['gratitude', 'data science', 'civil engineering', 'microsoft excel']",gratitude  data science  civil engineering  microsoft excel,4,65.73,72.16,69.18,69.02
73,"['project mine', 'exercise', 'email']",project mine  exercise  email,3,75.98,100.0,52.59,76.19
74,"['long short-term memory', 'interaction design', 'facilitation', 'experience', 'animal', 'ecosystem']",long short-term memory  interaction design  facilitation  experience  animal  ecosystem,6,83.24,55.65,69.34,69.41
75,"['korean language', 'html', 'brainstorming', 'machine learning', 'risk', 'node.js']",korean language  html  brainstorming  machine learning  risk  node.js,6,88.07,75.77,62.07,75.3
76,"['language', 'apache spark', 'cluster analysis', 'global', 'digital signature', 'systems design', 'graphic design']",language  apache spark  cluster analysis  global  digital signature  systems design  graphic design,7,66.42,83.16,66.24,71.94
77,"['climate change', 'theory of relativity', 'persona (user experience)']",climate change  theory of relativity  persona (user experience),3,77.6,75.55,67.18,73.44
78,"['interpretation', 'personal branding', 'translation', 'risk factors', 'cluster analysis']",interpretation  personal branding  translation  risk factors  cluster analysis,5,100.0,82.61,50.7,77.77
79,"['swift programming', 'ecology', 'genetics', 'augmented reality', 'personal branding', '.properties']",swift programming  ecology  genetics  augmented reality  personal branding  .properties,6,77.24,67.06,85.23,76.51
80,"['social psychology', 'educational psychology', 'matching', 'performance', 'brainstorming', 'lambda calculus', 'venture capital']",social psychology  educational psychology  matching  performance  brainstorming  lambda calculus  venture capital,7,65.49,73.62,81.06,73.39
81,"['computer architecture', 'instructional design', 'research methods', 'internality', 'online learning']",computer architecture  instructional design  research methods  internality  online learning,5,85.39,60.6,70.99,72.32
82,"['numpy', 'inflation', 'spreadsheet', 'computer programming', 'economy']",numpy  inflation  spreadsheet  computer programming  economy,5,69.3,67.16,96.19,77.55
83,"['mental health', 'design pattern', 'user (computing)', 'stress', 'integral', 'object detection']",mental health  design pattern  user (computing)  stress  integral  object detection,6,79.86,59.87,86.01,75.25
84,"['.bit', 'interact', 'hypothesis', 'english language', 'perception', 'syntax', 'trigonometric integral']",.bit  interact  hypothesis  english language  perception  syntax  trigonometric integral,7,100.0,87.39,56.77,81.39
85,"['product management', 'physics', 'epidemic', 'risk factors', 'proposition']",product management  physics  epidemic  risk factors  proposition,5,69.19,90.2,66.51,75.3
86,"['business strategy', 'human voice', 'running', 'web application']",business strategy  human voice  running  web application,4,80.33,84.3,63.88,76.17
87,"['leadership', 'case study', 'financial accounting', 'international law', 'experimental design', 'electronics', 'critical thinking']",leadership  case study  financial accounting  international law  experimental design  electronics  critical thinking,7,74.29,40.0,62.71,59.0
88,"['authority', 'foreign policy', 'psychologies']",authority  foreign policy  psychologies,3,71.97,60.03,94.59,75.53
89,"['breach (security exploit)', 'pricing', 'ordered pair', 'virtual reality', 'sustainable business', 'editing', 'missing data']",breach (security exploit)  pricing  ordered pair  virtual reality  sustainable business  editing  missing data,7,57.84,69.72,76.57,68.04
90,"['node.js', 'forecasting', 'cross-cultural communication', 'accounting', 'circular economy', 'payments']",node.js  forecasting  cross-cultural communication  accounting  circular economy  payments,6,92.3,57.77,88.96,79.67
91,"['dialogue', 'sales', 'product development', 'awareness']",dialogue  sales  product development  awareness,4,75.12,63.22,80.55,72.96
92,"['game design', 'compiler', 'principle', 'constitution', 'product development', 'semantics', 'statistical classification']",game design  compiler  principle  constitution  product development  semantics  statistical classification,7,77.39,67.8,75.84,73.67
93,"['investment', 'physiology', 'urban planning', 'rendering (computer graphics)', 'pedagogy', 'sound', 'plant']",investment  physiology  urban planning  rendering (computer graphics)  pedagogy  sound  plant,7,70.38,76.36,82.95,76.56
94,"['psychologies', 'population', 'ggplot2', 'fundraising']",psychologies  population  ggplot2  fundraising,4,94.03,60.15,100.0,84.73
95,"['sap erp', 'pytorch', 'video editing', 'flask', 'health policy']",sap erp  pytorch  video editing  flask  health policy,5,51.57,73.18,82.06,68.94
96,"['business case', 'hyperparameter', 'financial accounting', 'health', 'leadership', 'japanese language']",business case  hyperparameter  financial accounting  health  leadership  japanese language,6,78.37,67.53,72.5,72.8
97,"['business law', 'copywriting', 'css', 'file shortcut', 'mindfulness', 'customer experience', 'epidemiology']",business law  copywriting  css  file shortcut  mindfulness  customer experience  epidemiology,7,69.08,67.93,85.2,74.07
98,"['ordered pair', 'observation', 'lambda calculus']",ordered pair  observation  lambda calculus,3,79.28,66.69,85.8,77.25
99,"['professional development', 'organizational culture', 'biodiversity', 'enabling', 'parent', 'molecular biology', 'target audience']",professional development  organizational culture  biodiversity  enabling  parent  molecular biology  target audience,7,78.69,84.75,82.56,82.0
100,"['sustainable business', 'mergers & acquisitions', 'public health']",sustainable business  mergers & acquisitions  public health,3,65.05,68.28,83.97,72.43
101,"['machine learning data-science machine-learning', 'information security', 'mongodb']",machine learning data-science machine-learning  information security  mongodb,3,82.32,74.75,76.41,77.83
102,"['social psychology', 'solar systems', 'trading', 'evaluation', 'r programming', ""euler's totient function""]",social psychology  solar systems  trading  evaluation  r programming  euler's totient function,6,90.33,67.9,81.57,79.93
103,"['personal branding', 'qualitative research', 'application programming interfaces', 'molecular biology', 'leadership and management']",personal branding  qualitative research  application programming interfaces  molecular biology  leadership and management,5,72.57,72.39,88.19,77.72
104,"['dataflow', 'project', 'computer programming', 'value proposition', 'six sigma', 'apache']",dataflow  project  computer programming  value proposition  six sigma  apache,6,84.9,84.76,90.67,86.78
105,"['terrorism', 'storytelling', 'apache', 'business process', 'peering', 'continuous function']",terrorism  storytelling  apache  business process  peering  continuous function,6,75.25,83.18,71.28,76.57
106,"['distributed computing', 'awareness', 'github', 'mental health', 'keras', 'entrepreneurship']",distributed computing  awareness  github  mental health  keras  entrepreneurship,6,78.89,73.44,76.16,76.16
107,"['justice', 'leadership and management business leadership-and-management', 'mental health', 'history', 'parenting', 'general statistics']",justice  leadership and management business leadership-and-management  mental health  history  parenting  general statistics,6,82.14,65.18,100.0,82.44
108,"['project mine', 'analytics', 'social work']",project mine  analytics  social work,3,62.93,60.43,88.9,70.75
109,"['long short-term memory', 'experiment', 'bookkeeping']",long short-term memory  experiment  bookkeeping,3,84.5,82.49,82.54,83.18
110,"['approximation error', 'fundraising', 'email']",approximation error  fundraising  email,3,74.85,64.23,75.91,71.67
111,"['utility', 'customer experience', 'flask']",utility  customer experience  flask,3,66.87,86.7,73.24,75.6
112,"['proposition', 'cloud storage', 'storytelling', 'ethics']",proposition  cloud storage  storytelling  ethics,4,65.09,71.14,79.96,72.06
113,"['geographic information system', 'matlab', 'debugging', 'translation', 'trigonometric integral', 'cloud storage']",geographic information system  matlab  debugging  translation  trigonometric integral  cloud storage,6,68.24,65.13,77.92,70.43
114,"['international relations', 'civil engineering', 'symptoms', 'anxiety']",international relations  civil engineering  symptoms  anxiety,4,77.94,68.92,69.35,72.07
115,"['sustainable business', 'media market', 'network security', 'electronics', 'business analysis']",sustainable business  media market  network security  electronics  business analysis,5,77.78,57.62,58.11,64.51
116,"['video game development', 'food security', 'child', 'integral', 'time series', 'competitiveness', 'strategic planning']",video game development  food security  child  integral  time series  competitiveness  strategic planning,7,66.38,72.44,78.73,72.52
117,"['logic', 'simulation', 'peering']",logic  simulation  peering,3,92.7,85.29,73.08,83.69
118,"['bookkeeping', 'representational state transfer', 'linear model', 'aerospace engineering', 'parent']",bookkeeping  representational state transfer  linear model  aerospace engineering  parent,5,74.77,62.97,74.78,70.84
119,"['cipher', 'permutations', 'marketing plan', 'web development', 'probability density function', 'customer experience']",cipher  permutations  marketing plan  web development  probability density function  customer experience,6,71.54,78.87,65.07,71.83
120,"['dialogue', 'saving', 'hashing', 'user (computing)', 'social psychology', 'python syntax and semantics']",dialogue  saving  hashing  user (computing)  social psychology  python syntax and semantics,6,81.23,93.39,73.69,82.77
121,"['personal branding', 'terrorism', 'guitar', 'java programming', 'framing', 'c dynamic memory allocation']",personal branding  terrorism  guitar  java programming  framing  c dynamic memory allocation,6,79.82,83.28,70.19,77.76
122,"['power electronics', 'forecasting', 'product development', ""student's t-distribution"", 'unit testing']",power electronics  forecasting  product development  student's t-distribution  unit testing,5,77.69,75.15,76.17,76.34
123,"['leadership and management', 'application programming interfaces', 'recruitment', 'journalism', 'distributed computing', 'r programming']",leadership and management  application programming interfaces  recruitment  journalism  distributed computing  r programming,6,65.72,75.29,80.98,74.0
124,"['mapping', 'geometry', 'lesson plan', 'html5']",mapping  geometry  lesson plan  html5,4,92.41,86.51,100.0,92.97
125,"['health system', 'sql', 'adobe photoshop', 'safety', 'economics', 'business writing', 'food science']",health system  sql  adobe photoshop  safety  economics  business writing  food science,7,65.79,85.47,77.2,76.15
126,"['r&d management', 'spreadsheet software', 'fluid mechanics', 'psychology', 'randomness', 'poetry writing']",r&d management  spreadsheet software  fluid mechanics  psychology  randomness  poetry writing,6,100.0,65.3,64.92,76.74
127,"['case study', 'inference', 'evolution']",case study  inference  evolution,3,67.81,49.51,68.69,62.0
128,"['forecasting', 'interactivity', 'systems thinking', 'matlab', 'proposition', 'sports']",forecasting  interactivity  systems thinking  matlab  proposition  sports,6,65.89,76.8,79.1,73.93
129,"['linguistics', 'payments', 'sources', 'lambda calculus', 'machine learning data-science machine-learning', 'presentation', 'healing']",linguistics  payments  sources  lambda calculus  machine learning data-science machine-learning  presentation  healing,7,97.51,86.41,68.08,84.0
130,"['gene', 'file shortcut', 'competitiveness', 'ecosystem', 'inventory']",gene  file shortcut  competitiveness  ecosystem  inventory,5,64.22,80.9,59.16,68.09
131,"['social media', 'documents', 'economy']",social media  documents  economy,3,96.98,89.15,69.37,85.17
132,"['python syntax and semantics', 'healthcare management', 'technology strategy', 'scikit-learn']",python syntax and semantics  healthcare management  technology strategy  scikit-learn,4,54.44,91.25,73.63,73.1
133,"['human resources', 'chemistry', 'ecosystems', 'influencing', 'externality', 'marketing mix', 'disaster']",human resources  chemistry  ecosystems  influencing  externality  marketing mix  disaster,7,89.85,55.87,67.81,71.18
134,"['agile software development', 'six sigma', 'computer program', 'health informatics', 'authentication']",agile software development  six sigma  computer program  health informatics  authentication,5,75.06,75.56,69.6,73.41
135,"['sports', 'income', 'computer program']",sports  income  computer program,3,82.47,62.19,73.29,72.65
136,"['chinese language', 'aerospace engineering', 'surgery', 'humanitarian', 'project management', 'public-key cryptography']",chinese language  aerospace engineering  surgery  humanitarian  project management  public-key cryptography,6,76.44,81.17,83.54,80.39
137,"['lesson plan', 'dnas', 'balance sheet', 'general statistics', 'public speaking', 'cloud platforms']",lesson plan  dnas  balance sheet  general statistics  public speaking  cloud platforms,6,61.5,56.59,90.33,69.48
138,"['null coalescing operator', 'reason', 'budget']",null coalescing operator  reason  budget,3,78.99,66.02,93.61,79.54
139,"['virtual reality', 'bayesian', 'culture', 'cryptocurrency', 'stock market', 'interact', 'business writing']",virtual reality  bayesian  culture  cryptocurrency  stock market  interact  business writing,7,76.39,89.15,75.81,80.45
140,"['command-line interface', 'statistical analysis', 'organizational structure', 'translation']",command-line interface  statistical analysis  organizational structure  translation,4,99.73,96.06,72.01,89.27
141,"['user interface design', 'exploratory data analysis', 'scaling', 'mergers & acquisitions', 'power electronics', 'physiology', 'informatics']",user interface design  exploratory data analysis  scaling  mergers & acquisitions  power electronics  physiology  informatics,7,86.66,82.74,91.42,86.94
142,"['penetration test', 'interaction design', 'stress', 'user story', 'big data', 'unit testing', 'chemical engineering']",penetration test  interaction design  stress  user story  big data  unit testing  chemical engineering,7,63.42,83.23,87.7,78.12
143,"['version control', 'entrepreneurship', 'grammar', 'business model canvas']",version control  entrepreneurship  grammar  business model canvas,4,53.9,60.8,50.53,55.08
144,"['flow network', 'deployment environment', 'speech', 'business']",flow network  deployment environment  speech  business,4,71.77,83.61,93.03,82.8
145,"['3d modeling', 'online learning', 'power electronics', 'test case']",3d modeling  online learning  power electronics  test case,4,75.89,94.54,58.44,76.29
146,"['image processing', 'arcgis', 'film', 'i-deas', 'human resources', 'presentation']",image processing  arcgis  film  i-deas  human resources  presentation,6,54.56,74.33,79.61,69.5
147,"['finance business finance', 'grammar', 'version control']",finance business finance  grammar  version control,3,74.61,50.19,73.93,66.24
148,"['electrical engineering', 'payments', 'cloud storage', 'software testing', 'experimental design', 'cryptocurrency', 'graphs']",electrical engineering  payments  cloud storage  software testing  experimental design  cryptocurrency  graphs,7,59.35,83.04,79.4,73.93
149,"['brand management', 'big data', 'dataflow', 'interest']",brand management  big data  dataflow  interest,4,63.72,68.83,62.29,64.95
150,"['stress', 'i-deas', 'philosophy', 'computer architecture', 'project data-science data-analysis', 'interact', 'numpy']",stress  i-deas  philosophy  computer architecture  project data-science data-analysis  interact  numpy,7,74.25,86.46,63.17,74.63
151,"['reinforcement learning', 'social work', 'recommender systems', 'phenomenon', 'business law']",reinforcement learning  social work  recommender systems  phenomenon  business law,5,81.05,68.64,65.49,71.72
152,"['asset', 'performance management', 'java programming', 'training', 'game theory', 'anxiety', 'cancer']",asset  performance management  java programming  training  game theory  anxiety  cancer,7,73.72,62.58,68.36,68.22
153,"['sustainable business', 'teaching method', 'android development', 'harmony']",sustainable business  teaching method  android development  harmony,4,60.63,98.58,75.42,78.21
154,"['astronomy', 'design thinking', 'project mine', 'sales management', 'physics', 'history', 'display devices']",astronomy  design thinking  project mine  sales management  physics  history  display devices,7,66.6,77.57,73.65,72.61
155,"['personal branding', 'web development', 'reason', 'cancer', 'project mine', 'logic gate', 'online learning']",personal branding  web development  reason  cancer  project mine  logic gate  online learning,7,72.35,82.37,84.09,79.6
156,"['java (software platform)', 'chord', 'data security', 'kubernetes', 'operating systems']",java (software platform)  chord  data security  kubernetes  operating systems,5,68.63,68.09,71.7,69.47
157,"['i-deas', 'null coalescing operator', 'sources', 'art', 'prevention', 'c sharp (programming language)']",i-deas  null coalescing operator  sources  art  prevention  c sharp (programming language),6,47.38,56.82,91.4,65.2
158,"['general statistics', 'javascript', 'cluster analysis', 'nursing', 'rstudio']",general statistics  javascript  cluster analysis  nursing  rstudio,5,94.74,72.01,81.92,82.89
159,"['software development process', 'process management', 'opinion']",software development process  process management  opinion,3,78.74,100.0,88.43,89.06
160,"['e-commerce', 'sales', 'marketing plan']",e-commerce  sales  marketing plan,3,73.46,63.53,55.72,64.24
161,"['regression', 'version control', 'physics', 'balance sheet', 'emotions', 'gratitude', 'sound design']",regression  version control  physics  balance sheet  emotions  gratitude  sound design,7,77.44,65.92,57.93,67.1
162,"['hypothesis testing', 'phenomenon', 'pytorch', 'compiler']",hypothesis testing  phenomenon  pytorch  compiler,4,67.24,62.02,95.25,74.84
163,"['voting', 'type i and type ii errors', 'flow network']",voting  type i and type ii errors  flow network,3,85.58,74.9,92.76,84.41
164,"['international relations', 'specification (technical standard)', 'agile software development', 'speech']",international relations  specification (technical standard)  agile software development  speech,4,75.93,64.66,93.28,77.96
165,"['case study', 'experimental design', 'cloud platforms', 'process', 'collaboration', 'customer relationship management']",case study  experimental design  cloud platforms  process  collaboration  customer relationship management,6,81.47,62.55,72.72,72.25
166,"['image processing', 'risk', 'health care', 'organizational culture', 'python programming data-science machine-learning', 'project planning']",image processing  risk  health care  organizational culture  python programming data-science machine-learning  project planning,6,64.49,58.41,86.11,69.67
167,"['principle', 'specification (technical standard)', 'crime', 'mindfulness']",principle  specification (technical standard)  crime  mindfulness,4,97.91,58.22,81.76,79.3
168,"['time management', 'resource', 'convolution', 'brainstorming']",time management  resource  convolution  brainstorming,4,67.19,69.15,67.89,68.08
169,"['ordered pair', 'lesson plan', 'research methods', 'gratitude', '3d modeling']",ordered pair  lesson plan  research methods  gratitude  3d modeling,5,64.63,75.58,65.03,68.41
170,"['information security', 'teaching method', 'syntax', 'random forest', 'cryptocurrency']",information security  teaching method  syntax  random forest  cryptocurrency,5,78.25,74.4,72.13,74.93
171,"['social psychology', 'python syntax and semantics', 'listening', 'language learning', 'speech', 'software engineering']",social psychology  python syntax and semantics  listening  language learning  speech  software engineering,6,64.11,68.08,84.06,72.08
172,"['pricing', 'java annotation', 'e-nable', 'flask', 'supply chain', 'mindfulness']",pricing  java annotation  e-nable  flask  supply chain  mindfulness,6,81.01,63.27,76.19,73.49
173,"['openfabrics alliance', 'augmented assignment', 'ios development', 'proposition']",openfabrics alliance  augmented assignment  ios development  proposition,4,84.02,54.97,81.52,73.5
174,"['mobile development', 'culture', 'recurrent neural network', 'art', 'computer program', 'relative change and difference']",mobile development  culture  recurrent neural network  art  computer program  relative change and difference,6,67.05,81.85,65.84,71.58
175,"['language', 'chemistry', 'photography', 'scrum (software development)', 'principle', 'agriculture', 'creativity']",language  chemistry  photography  scrum (software development)  principle  agriculture  creativity,7,53.34,55.47,75.58,61.46
176,"['data analysis', 'business', 'project management', 'graphic design', 'leadership development', 'venture capital']",data analysis  business  project management  graphic design  leadership development  venture capital,6,78.12,64.15,82.66,74.98
